REFSEQ	parent
XM_001965627	FBgn0012114
XM_001965447	FBgn0012123
XM_001958007	FBgn0010400
XM_014908661	FBgn0010400
XM_014908662	FBgn0010400
XM_001955301	FBgn0082823
XM_014911581	FBgn0082823
XM_014911582	FBgn0082823
XM_014911583	FBgn0082823
XM_001964278	FBgn0082824
XM_014905716	FBgn0082824
XM_014905717	FBgn0082824
XM_014905715	FBgn0082824
XM_014905714	FBgn0082824
XM_001965969	FBgn0062827
XM_014904482	FBgn0062827
XM_001960604	FBgn0024473
XM_014908257	FBgn0024473
XM_014908258	FBgn0024473
XM_001960603	FBgn0024472
XM_014908256	FBgn0024472
XM_001954211	FBgn0062828
XM_001959053	FBgn0084183
XM_014907657	FBgn0084183
XM_014907658	FBgn0084183
XM_014907659	FBgn0084183
XM_014907660	FBgn0084183
XM_014907661	FBgn0084183
XM_014907662	FBgn0084183
XM_014907663	FBgn0084183
XM_014907664	FBgn0084183
XM_014907665	FBgn0084183
XM_014907666	FBgn0084183
XM_014907667	FBgn0084183
XM_014907668	FBgn0084183
XM_014904265	FBgn0082828
XM_014904267	FBgn0082828
XM_014904268	FBgn0082828
XM_014904269	FBgn0082828
XM_014904263	FBgn0082828
XM_014904264	FBgn0082828
XM_014904266	FBgn0082828
XM_001966481	FBgn0082828
XM_014904270	FBgn0082828
XM_014904261	FBgn0082828
XM_014904262	FBgn0082828
XM_001965445	FBgn0016149
XM_001963768	FBgn0082827
XM_001964055	FBgn0012142
XM_014905505	FBgn0012142
XM_014905504	FBgn0012142
XM_001964208	FBgn0014636
XM_001963638	FBgn0083876
XM_001961051	FBgn0061347
XM_001966056	FBgn0082826
XM_001955766	FBgn0083873
XM_001953556	FBgn0013782
XM_001959002	FBgn0064749
XM_001961486	FBgn0012113
XM_001960144	FBgn0083865
XM_001958008	FBgn0013783
XM_001954028	FBgn0024471
XM_001959003	FBgn0064747
XM_001960859	FBgn0083875
XM_001966768	FBgn0082825
XM_014904134	FBgn0082825
XM_001955838	FBgn0084631
XM_001966444	FBgn0082822
XM_001958795	FBgn0016147
XM_001955234	FBgn0084773
XM_001965970	FBgn0061345
XM_001959663	FBgn0069888
XM_014908025	FBgn0069888
XM_014908026	FBgn0069888
XM_014908027	FBgn0069888
XM_001961485	FBgn0083877
XM_001963561	FBgn0014630
XM_001965601	FBgn0014575
XM_001955768	FBgn0083867
XM_014910270	FBgn0083867
XM_001955569	FBgn0012143
XM_014911633	FBgn0012143
XM_001959004	FBgn0064748
XM_001955767	FBgn0083874
XM_014911682	FBgn0083874
XM_001962674	FBgn0015055
XM_014906626	FBgn0015055
XM_001963641	FBgn0082829
XM_001956401	FBgn0023389
XM_001960605	FBgn0020487
XM_001967109	FBgn0014574
XM_001963224	FBgn0085912
XM_001959665	FBgn0085978
XM_001956620	FBgn0087087
XM_014908664	FBgn0087087
XM_014908663	FBgn0087087
XM_014908665	FBgn0087088
XM_001956625	FBgn0087089
XM_014908666	FBgn0087089
XM_001956628	FBgn0087091
XM_001956629	FBgn0087092
XM_001956630	FBgn0087093
XM_001956631	FBgn0087094
XM_014908667	FBgn0087094
XM_001956635	FBgn0087095
XM_001956641	FBgn0087096
XM_001956642	FBgn0087097
XM_014908668	FBgn0087097
XM_001956645	FBgn0087098
XM_001956646	FBgn0087099
XM_001956649	FBgn0087100
XM_001956651	FBgn0087101
XM_014908669	FBgn0087101
XM_001956652	FBgn0087102
XM_001956654	FBgn0087103
XM_001956655	FBgn0087104
XM_001956659	FBgn0087105
XM_001956661	FBgn0087106
XM_001956663	FBgn0087107
XM_001956665	FBgn0087108
XM_001956674	FBgn0087109
XM_001956676	FBgn0087110
XM_001956681	FBgn0087111
XM_001956684	FBgn0087113
XM_001956686	FBgn0087114
XM_001956688	FBgn0087115
XM_001956689	FBgn0087116
XM_001956691	FBgn0087117
XM_001956692	FBgn0087118
XM_001956694	FBgn0087119
XM_014908670	FBgn0087119
XM_014908671	FBgn0087122
XM_001956699	FBgn0087122
XM_001956701	FBgn0087123
XM_014908673	FBgn0087123
XM_014908672	FBgn0087123
XM_014908674	FBgn0087123
XM_001956712	FBgn0087124
XM_001956714	FBgn0087125
XM_001956718	FBgn0087126
XM_001956719	FBgn0087127
XM_001956720	FBgn0087128
XM_001956721	FBgn0087129
XM_001956722	FBgn0087130
XM_001956723	FBgn0087131
XM_001956725	FBgn0087132
XM_001956726	FBgn0087133
XM_001956727	FBgn0087134
XM_001956729	FBgn0087135
XM_001956730	FBgn0087136
XM_001956732	FBgn0087137
XM_001956735	FBgn0087138
XM_001956737	FBgn0087139
XM_001956738	FBgn0087140
XM_001956739	FBgn0087141
XM_001956741	FBgn0087142
XM_001956743	FBgn0087143
XM_001956745	FBgn0087144
XM_001956746	FBgn0087145
XM_001956747	FBgn0087146
XM_001956749	FBgn0087147
XM_001956751	FBgn0087148
XM_014908675	FBgn0087148
XM_001956753	FBgn0087149
XM_001956755	FBgn0087150
XM_001956758	FBgn0087151
XM_014908676	FBgn0087151
XM_001956760	FBgn0087152
XM_014908678	FBgn0087153
XM_014908677	FBgn0087153
XM_014908679	FBgn0087153
XM_014908680	FBgn0087153
XM_001956764	FBgn0087153
XM_001956765	FBgn0087154
XM_014908681	FBgn0087154
XM_001956767	FBgn0087155
XM_001956769	FBgn0087156
XM_001956772	FBgn0087157
XM_001956773	FBgn0087158
XM_001956775	FBgn0087159
XM_014908683	FBgn0087160
XM_014908682	FBgn0087160
XM_014908684	FBgn0087160
XM_014908685	FBgn0087160
XM_014908686	FBgn0087160
XM_001956777	FBgn0087160
XM_014908687	FBgn0087160
XM_001956778	FBgn0087161
XM_001956780	FBgn0087162
XM_001956784	FBgn0087163
XM_001956792	FBgn0087164
XM_001956793	FBgn0087165
XM_001956796	FBgn0087166
XM_014908688	FBgn0087166
XM_001956797	FBgn0087167
XM_001956798	FBgn0087168
XM_001956799	FBgn0087169
XM_014908690	FBgn0087169
XM_014908689	FBgn0087169
XM_001956800	FBgn0087170
XM_001956803	FBgn0087171
XM_001956804	FBgn0087172
XM_001956807	FBgn0087173
XM_014908692	FBgn0087173
XM_014908691	FBgn0087173
XM_014908693	FBgn0087173
XM_001956808	FBgn0087175
XM_001956810	FBgn0087176
XM_014908694	FBgn0087176
XM_001956812	FBgn0087177
XM_001956814	FBgn0087178
XM_001956817	FBgn0087179
XM_001956818	FBgn0087180
XM_014908696	FBgn0087182
XM_014908695	FBgn0087182
XM_014908697	FBgn0087182
XM_001956823	FBgn0087182
XM_014908698	FBgn0087182
XM_014908699	FBgn0087182
XM_014908701	FBgn0087183
XM_014908700	FBgn0087183
XM_001956825	FBgn0087183
XM_014908703	FBgn0087184
XM_014908702	FBgn0087184
XM_001956826	FBgn0087184
XM_014908704	FBgn0087184
XM_014908705	FBgn0087184
XM_001956832	FBgn0087185
XM_001956836	FBgn0087186
XM_001956837	FBgn0087187
XM_001956840	FBgn0087188
XM_001956844	FBgn0087189
XM_014908706	FBgn0087189
XM_001956850	FBgn0087191
XM_001956851	FBgn0087192
XM_001956854	FBgn0087193
XM_001956855	FBgn0087194
XM_001956858	FBgn0087195
XM_001956860	FBgn0087196
XM_001956864	FBgn0087197
XM_001956866	FBgn0087198
XM_001956869	FBgn0087199
XM_001956873	FBgn0087200
XM_014908707	FBgn0087200
XM_001956875	FBgn0087202
XM_014908708	FBgn0087202
XM_001956879	FBgn0087203
XM_001956881	FBgn0087204
XM_001956883	FBgn0087205
XM_001956885	FBgn0087206
XM_001956886	FBgn0087207
XM_001956889	FBgn0087208
XM_001956896	FBgn0087209
XM_001956897	FBgn0087210
XM_001956903	FBgn0087211
XM_001956908	FBgn0087212
XM_001956910	FBgn0087213
XM_001956913	FBgn0087214
XM_001956914	FBgn0087215
XM_001956915	FBgn0087216
XM_001956916	FBgn0087217
XM_001956917	FBgn0087218
XM_014908709	FBgn0087219
XM_001956920	FBgn0087220
XM_001956922	FBgn0087221
XM_001956924	FBgn0087222
XM_001956926	FBgn0087223
XM_001956927	FBgn0087224
XM_001956929	FBgn0087225
XM_001956931	FBgn0087227
XM_014908710	FBgn0087227
XM_001956934	FBgn0087228
XM_001956935	FBgn0087229
XM_001956938	FBgn0087230
XM_001956940	FBgn0087231
XM_001956942	FBgn0087232
XM_001956944	FBgn0087233
XM_014908711	FBgn0087233
XM_001956946	FBgn0087234
XM_014908713	FBgn0087235
XM_014908712	FBgn0087235
XM_001956947	FBgn0087235
XM_001956948	FBgn0087236
XM_001956949	FBgn0087237
XM_001956950	FBgn0087238
XM_001956951	FBgn0087239
XM_001956952	FBgn0087240
XM_001956954	FBgn0087241
XM_014908715	FBgn0087241
XM_014908714	FBgn0087241
XM_001956956	FBgn0087242
XM_001956962	FBgn0087243
XM_014908716	FBgn0087243
XM_001956964	FBgn0087244
XM_001956966	FBgn0087245
XM_001956968	FBgn0087246
XM_001956970	FBgn0087248
XM_001956972	FBgn0087249
XM_001956974	FBgn0087250
XM_001956975	FBgn0087251
XM_014908717	FBgn0087251
XM_001956977	FBgn0087252
XM_014908718	FBgn0087252
XM_001956978	FBgn0087253
XM_001956982	FBgn0087255
XM_014908720	FBgn0087255
XM_014908719	FBgn0087255
XM_014908721	FBgn0087255
XM_014908722	FBgn0087255
XM_001956983	FBgn0087256
XM_014908723	FBgn0087256
XM_001956984	FBgn0087257
XM_014908724	FBgn0087257
XM_001956985	FBgn0087258
XM_001956989	FBgn0087259
XM_001956992	FBgn0087260
XM_001956995	FBgn0087261
XM_014908725	FBgn0087262
XM_001956997	FBgn0087262
XM_014908726	FBgn0087262
XM_014908728	FBgn0087263
XM_014908727	FBgn0087263
XM_014908729	FBgn0087263
XM_001956998	FBgn0087263
XM_001956999	FBgn0087264
XM_001957001	FBgn0087266
XM_001957003	FBgn0087267
XM_001957005	FBgn0087268
XM_001957009	FBgn0087269
XM_001957012	FBgn0087270
XM_001957013	FBgn0087271
XM_001957014	FBgn0087272
XM_001957020	FBgn0087273
XM_001957023	FBgn0087274
XM_001957024	FBgn0087275
XM_001957028	FBgn0087277
XM_001957030	FBgn0087278
XM_001957033	FBgn0087279
XM_001957034	FBgn0087280
XM_014908730	FBgn0087281
XM_001957036	FBgn0087281
XM_014908731	FBgn0087282
XM_014908732	FBgn0087282
XM_001957043	FBgn0087286
XM_014908733	FBgn0087286
XM_001957046	FBgn0087287
XM_001957049	FBgn0087288
XM_001957052	FBgn0087289
XM_001957056	FBgn0087290
XM_001957057	FBgn0087291
XM_001957058	FBgn0087292
XM_001957059	FBgn0087293
XM_014908735	FBgn0087293
XM_014908734	FBgn0087293
XM_014908736	FBgn0087293
XM_014908737	FBgn0087293
XM_001957060	FBgn0087294
XM_014908738	FBgn0087294
XM_001957063	FBgn0087295
XM_014908740	FBgn0087295
XM_014908739	FBgn0087295
XM_001957064	FBgn0087296
XM_001957066	FBgn0087297
XM_001957073	FBgn0087298
XM_014908741	FBgn0087298
XM_001957074	FBgn0087299
XM_001957079	FBgn0087302
XM_014908743	FBgn0087302
XM_014908742	FBgn0087302
XM_014908744	FBgn0087302
XM_014908745	FBgn0087302
XM_014908746	FBgn0087302
XM_014908747	FBgn0087302
XM_014908748	FBgn0087302
XM_014908749	FBgn0087302
XM_014908750	FBgn0087302
XM_001957083	FBgn0087303
XM_001957085	FBgn0087304
XM_001957089	FBgn0087305
XM_001957092	FBgn0087306
XM_001957093	FBgn0087307
XM_001957096	FBgn0087308
XM_001957097	FBgn0087309
XM_001957102	FBgn0087312
XM_001957103	FBgn0087313
XM_001957108	FBgn0087314
XM_001957110	FBgn0087315
XM_001957112	FBgn0087316
XM_001957115	FBgn0087318
XM_014908752	FBgn0087318
XM_014908751	FBgn0087318
XM_014908753	FBgn0087318
XM_001957116	FBgn0087319
XM_001957118	FBgn0087320
XM_001957122	FBgn0087321
XM_001957123	FBgn0087322
XM_001957125	FBgn0087323
XM_014908755	FBgn0087323
XM_014908754	FBgn0087323
XM_014908756	FBgn0087323
XM_014908757	FBgn0087323
XM_001957127	FBgn0087324
XM_001957128	FBgn0087325
XM_001957130	FBgn0087326
XM_014908758	FBgn0087328
XM_001957133	FBgn0087329
XM_001957134	FBgn0087330
XM_001957136	FBgn0087331
XM_001957140	FBgn0087332
XM_001957146	FBgn0087333
XM_001957147	FBgn0087334
XM_001957148	FBgn0087335
XM_001957152	FBgn0087337
XM_001957155	FBgn0087338
XM_001957157	FBgn0087339
XM_001957159	FBgn0087340
XM_001957161	FBgn0087341
XM_001957162	FBgn0087342
XM_001957163	FBgn0087343
XM_001957164	FBgn0087344
XM_001957167	FBgn0087346
XM_001957171	FBgn0087347
XM_001957173	FBgn0087348
XM_001957175	FBgn0087349
XM_001957178	FBgn0087350
XM_001957179	FBgn0087351
XM_001957180	FBgn0087352
XM_001957181	FBgn0087353
XM_001957182	FBgn0087354
XM_001957187	FBgn0087355
XM_001957189	FBgn0087356
XM_001957194	FBgn0087358
XM_001957195	FBgn0087359
XM_014908759	FBgn0087359
XM_001957196	FBgn0087360
XM_001957198	FBgn0087361
XM_001957200	FBgn0087362
XM_001957205	FBgn0087363
XM_001957206	FBgn0087364
XM_001957207	FBgn0087365
XM_001957208	FBgn0087366
XM_001957212	FBgn0087367
XM_001957213	FBgn0087368
XM_001957215	FBgn0087369
XM_001957217	FBgn0087370
XM_014908761	FBgn0087370
XM_014908760	FBgn0087370
XM_001957218	FBgn0087371
XM_001957219	FBgn0087372
XM_001957220	FBgn0087373
XM_001957223	FBgn0087374
XM_001957224	FBgn0087375
XM_001957226	FBgn0087376
XM_001957228	FBgn0087377
XM_014908763	FBgn0087377
XM_014908762	FBgn0087377
XM_014908764	FBgn0087377
XM_001957239	FBgn0087380
XM_014908766	FBgn0087380
XM_014908765	FBgn0087380
XM_001957241	FBgn0087381
XM_014908767	FBgn0087381
XM_001957243	FBgn0087382
XM_001957244	FBgn0087383
XM_014908769	FBgn0087383
XM_014908768	FBgn0087383
XM_014908770	FBgn0087383
XM_001953410	FBgn0087384
XM_014904082	FBgn0087384
XM_001957247	FBgn0087386
XM_001957248	FBgn0087387
XM_001957250	FBgn0087388
XM_001957251	FBgn0087389
XM_014908771	FBgn0087389
XM_001957253	FBgn0087390
XM_001957255	FBgn0087392
XM_001957257	FBgn0087393
XM_014908773	FBgn0087393
XM_014908772	FBgn0087393
XM_001957260	FBgn0087394
XM_001957262	FBgn0087395
XM_001957264	FBgn0087396
XM_001957266	FBgn0087397
XM_001957269	FBgn0087398
XM_001957271	FBgn0087399
XM_001957276	FBgn0087400
XM_014908774	FBgn0087400
XM_001957278	FBgn0087401
XM_001957283	FBgn0087402
XM_014908776	FBgn0087402
XM_014908775	FBgn0087402
XM_014908777	FBgn0087402
XM_001957284	FBgn0087403
XM_001957285	FBgn0087404
XM_014908778	FBgn0087404
XM_001957287	FBgn0087405
XM_001957289	FBgn0087406
XM_001957291	FBgn0087407
XM_001957297	FBgn0087408
XM_001957301	FBgn0087409
XM_014908780	FBgn0087409
XM_014908779	FBgn0087409
XM_001957302	FBgn0087410
XM_014908781	FBgn0087410
XM_014908782	FBgn0087411
XM_001957303	FBgn0087411
XM_014908783	FBgn0087411
XM_014908784	FBgn0087411
XM_014908785	FBgn0087411
XM_014908786	FBgn0087411
XM_014908787	FBgn0087411
XM_014908788	FBgn0087411
XM_014908789	FBgn0087411
XM_014908790	FBgn0087411
XM_014908791	FBgn0087411
XM_014908792	FBgn0087411
XM_014908793	FBgn0087411
XM_014908794	FBgn0087411
XM_014908795	FBgn0087411
XM_014908796	FBgn0087411
XM_014908797	FBgn0087411
XM_014908798	FBgn0087411
XM_014908799	FBgn0087411
XM_001957304	FBgn0087412
XM_014908800	FBgn0087412
XM_001957305	FBgn0087413
XM_001957308	FBgn0087414
XM_001957309	FBgn0087415
XM_001957310	FBgn0087416
XM_014908801	FBgn0087416
XM_001957314	FBgn0087417
XM_001957316	FBgn0087418
XM_014908802	FBgn0087419
XM_001957319	FBgn0087420
XM_001957321	FBgn0087421
XM_001957323	FBgn0087422
XM_014908803	FBgn0087423
XM_001957325	FBgn0087424
XM_001957329	FBgn0087426
XM_001957330	FBgn0087427
XM_014908804	FBgn0087429
XM_001957334	FBgn0087430
XM_001957335	FBgn0087431
XM_014908805	FBgn0087432
XM_001957337	FBgn0087432
XM_014908806	FBgn0087432
XM_014908807	FBgn0087432
XM_014908808	FBgn0087432
XM_001957340	FBgn0087433
XM_001957342	FBgn0087434
XM_001957350	FBgn0087435
XM_001957358	FBgn0087436
XM_001957364	FBgn0087437
XM_014908809	FBgn0087437
XM_014908811	FBgn0087438
XM_014908810	FBgn0087438
XM_001957365	FBgn0087438
XM_014908812	FBgn0087438
XM_014908813	FBgn0087439
XM_001957369	FBgn0087439
XM_001957370	FBgn0087440
XM_001957372	FBgn0087441
XM_001957377	FBgn0087442
XM_014908814	FBgn0087442
XM_001957379	FBgn0087443
XM_001957381	FBgn0087444
XM_001957385	FBgn0087445
XM_014908815	FBgn0087445
XM_001957386	FBgn0087446
XM_014908816	FBgn0087448
XM_001957394	FBgn0087451
XM_014908818	FBgn0087451
XM_014908817	FBgn0087451
XM_014908819	FBgn0087451
XM_001957395	FBgn0087452
XM_001957397	FBgn0087453
XM_001957398	FBgn0087454
XM_001957401	FBgn0087455
XM_001957409	FBgn0087457
XM_001957412	FBgn0087458
XM_001957414	FBgn0087459
XM_001957418	FBgn0087460
XM_001957419	FBgn0087461
XM_014908821	FBgn0087461
XM_014908820	FBgn0087461
XM_014908822	FBgn0087461
XM_014908824	FBgn0087462
XM_014908823	FBgn0087462
XM_001957421	FBgn0087462
XM_014908825	FBgn0087462
XM_001957423	FBgn0087463
XM_014908826	FBgn0087463
XM_001957424	FBgn0087464
XM_001957428	FBgn0087467
XM_001957429	FBgn0087468
XM_014908827	FBgn0087468
XM_001957434	FBgn0087469
XM_014908828	FBgn0087469
XM_001957440	FBgn0087470
XM_001957442	FBgn0087471
XM_001957445	FBgn0087472
XM_014908830	FBgn0087472
XM_014908829	FBgn0087472
XM_014908831	FBgn0087472
XM_001957447	FBgn0087473
XM_001957450	FBgn0087474
XM_014908832	FBgn0087474
XM_001957453	FBgn0087475
XM_001957455	FBgn0087476
XM_014908834	FBgn0087476
XM_014908833	FBgn0087476
XM_014908835	FBgn0087476
XM_001957456	FBgn0087477
XM_001957457	FBgn0087478
XM_001957459	FBgn0087479
XM_001957462	FBgn0087480
XM_001957465	FBgn0087481
XM_014908837	FBgn0087481
XM_014908836	FBgn0087481
XM_014908838	FBgn0087481
XM_001957466	FBgn0087482
XM_001957468	FBgn0087483
XM_001957470	FBgn0087484
XM_001957471	FBgn0087485
XM_014908839	FBgn0087485
XM_001957472	FBgn0087486
XM_001957475	FBgn0087487
XM_001957476	FBgn0087488
XM_001957478	FBgn0087489
XM_001957480	FBgn0087490
XM_001957482	FBgn0087491
XM_001957486	FBgn0087492
XM_001957488	FBgn0087493
XM_001957489	FBgn0087494
XM_001957490	FBgn0087495
XM_001957492	FBgn0087496
XM_001957493	FBgn0087497
XM_001957495	FBgn0087498
XM_014908840	FBgn0087498
XM_001957498	FBgn0087499
XM_001957499	FBgn0087500
XM_014908841	FBgn0087501
XM_001957500	FBgn0087501
XM_014908842	FBgn0087501
XM_014908843	FBgn0087501
XM_014908844	FBgn0087501
XM_001957501	FBgn0087502
XM_014908845	FBgn0087502
XM_001957502	FBgn0087503
XM_014908846	FBgn0087503
XM_001957503	FBgn0087504
XM_001957507	FBgn0087505
XM_001957508	FBgn0087506
XM_001957510	FBgn0087507
XM_001957512	FBgn0087508
XM_001957514	FBgn0087510
XM_014908847	FBgn0087510
XM_014908849	FBgn0087511
XM_014908848	FBgn0087511
XM_014908850	FBgn0087511
XM_014908851	FBgn0087511
XM_014908852	FBgn0087511
XM_014908853	FBgn0087511
XM_014908854	FBgn0087511
XM_001957516	FBgn0087511
XM_014908855	FBgn0087511
XM_001957519	FBgn0087512
XM_001957521	FBgn0087513
XM_001957523	FBgn0087514
XM_001957525	FBgn0087515
XM_001957527	FBgn0087516
XM_001957529	FBgn0087517
XM_001957533	FBgn0087518
XM_001957535	FBgn0087519
XM_001957536	FBgn0087520
XM_014908856	FBgn0087520
XM_001957538	FBgn0087521
XM_014908857	FBgn0087521
XM_001957540	FBgn0087522
XM_001957541	FBgn0087523
XM_001957542	FBgn0087524
XM_001957545	FBgn0087525
XM_001957548	FBgn0087526
XM_014908858	FBgn0087526
XM_001957551	FBgn0087527
XM_014908859	FBgn0087527
XM_001957555	FBgn0087529
XM_014908861	FBgn0087529
XM_014908860	FBgn0087529
XM_001957558	FBgn0087530
XM_001957560	FBgn0087531
XM_014908862	FBgn0087531
XM_001957561	FBgn0087532
XM_014908864	FBgn0087532
XM_014908863	FBgn0087532
XM_001957563	FBgn0087533
XM_001957567	FBgn0087534
XM_001957568	FBgn0087535
XM_001957569	FBgn0087536
XM_001957570	FBgn0087537
XM_001957572	FBgn0087539
XM_001957580	FBgn0087540
XM_001957586	FBgn0087541
XM_001957589	FBgn0087542
XM_014908865	FBgn0087542
XM_001957590	FBgn0087543
XM_014908867	FBgn0087543
XM_014908866	FBgn0087543
XM_014908868	FBgn0087543
XM_014908869	FBgn0087543
XM_001957591	FBgn0087544
XM_001957594	FBgn0087545
XM_001957597	FBgn0087546
XM_001957598	FBgn0087547
XM_001957600	FBgn0087548
XM_001957603	FBgn0087549
XM_014908870	FBgn0087549
XM_001957605	FBgn0087550
XM_001957606	FBgn0087551
XM_001957607	FBgn0087552
XM_014908871	FBgn0087552
XM_001957608	FBgn0087553
XM_001957609	FBgn0087554
XM_001957611	FBgn0087555
XM_001957612	FBgn0087556
XM_001957613	FBgn0087557
XM_001957615	FBgn0087558
XM_001957616	FBgn0087559
XM_001957618	FBgn0087560
XM_001957621	FBgn0087561
XM_001957622	FBgn0087562
XM_001957625	FBgn0087563
XM_001957627	FBgn0087564
XM_001957629	FBgn0087566
XM_001957631	FBgn0087567
XM_014908872	FBgn0087567
XM_001957633	FBgn0087568
XM_001957634	FBgn0087569
XM_001957635	FBgn0087570
XM_001957636	FBgn0087571
XM_001957638	FBgn0087573
XM_014908874	FBgn0087573
XM_014908873	FBgn0087573
XM_001957639	FBgn0087574
XM_001957641	FBgn0087575
XM_014908875	FBgn0087575
XM_001957645	FBgn0087577
XM_001957646	FBgn0087578
XM_014908877	FBgn0087578
XM_014908876	FBgn0087578
XM_001961557	FBgn0092075
XM_014906368	FBgn0092075
XM_014906369	FBgn0092075
XM_014906370	FBgn0092075
XM_001961558	FBgn0092076
XM_001961562	FBgn0092077
XM_001961569	FBgn0092078
XM_014906371	FBgn0092079
XM_014906372	FBgn0092079
XM_014906373	FBgn0092079
XM_001961571	FBgn0092079
XM_001961572	FBgn0092080
XM_001961578	FBgn0092081
XM_014906374	FBgn0092081
XM_001961580	FBgn0092082
XM_001961581	FBgn0092083
XM_001961582	FBgn0092084
XM_014906375	FBgn0092084
XM_014906376	FBgn0092084
XM_014906377	FBgn0092084
XM_001961585	FBgn0092085
XM_014906378	FBgn0092085
XM_001961588	FBgn0092086
XM_001961589	FBgn0092087
XM_001961593	FBgn0092088
XM_001961594	FBgn0092089
XM_001961598	FBgn0092090
XM_014906379	FBgn0092090
XM_014906380	FBgn0092090
XM_001961601	FBgn0092091
XM_001961603	FBgn0092092
XM_001961604	FBgn0092093
XM_001961606	FBgn0092094
XM_001961608	FBgn0092095
XM_014906381	FBgn0092095
XM_001961609	FBgn0092096
XM_001961612	FBgn0092098
XM_001961614	FBgn0092100
XM_001961616	FBgn0092101
XM_001961619	FBgn0092102
XM_001961621	FBgn0092103
XM_014906382	FBgn0092103
XM_014906383	FBgn0092103
XM_014906384	FBgn0092103
XM_001961624	FBgn0092104
XM_014906385	FBgn0092104
XM_001961625	FBgn0092105
XM_001961626	FBgn0092106
XM_014906386	FBgn0092106
XM_014906387	FBgn0092106
XM_001961630	FBgn0092107
XM_001961632	FBgn0092108
XM_001961633	FBgn0092109
XM_001961636	FBgn0092110
XM_001961646	FBgn0092111
XM_014906388	FBgn0092113
XM_014906389	FBgn0092113
XM_001961649	FBgn0092113
XM_014906390	FBgn0092113
XM_001961650	FBgn0092114
XM_014906391	FBgn0092114
XM_014906392	FBgn0092114
XM_014906393	FBgn0092114
XM_001961651	FBgn0092115
XM_001961653	FBgn0092116
XM_001961655	FBgn0092117
XM_001961656	FBgn0092118
XM_014906394	FBgn0092118
XM_014906395	FBgn0092118
XM_001961657	FBgn0092119
XM_014906396	FBgn0092120
XM_001961660	FBgn0092121
XM_001961661	FBgn0092122
XM_001961662	FBgn0092123
XM_014906397	FBgn0092123
XM_001961664	FBgn0092124
XM_001961666	FBgn0092125
XM_014906398	FBgn0092125
XM_001961667	FBgn0092126
XM_014906399	FBgn0092126
XM_001961669	FBgn0092127
XM_001961671	FBgn0092128
XM_014906400	FBgn0092128
XM_014906401	FBgn0092128
XM_014906402	FBgn0092128
XM_014906403	FBgn0092128
XM_001961672	FBgn0092129
XM_001961674	FBgn0092130
XM_014906404	FBgn0092130
XM_014906405	FBgn0092130
XM_001961675	FBgn0092131
XM_014906406	FBgn0092131
XM_001961677	FBgn0092132
XM_001961679	FBgn0092133
XM_014906407	FBgn0092133
XM_001961681	FBgn0092134
XM_001961682	FBgn0092135
XM_001961684	FBgn0092136
XM_014906408	FBgn0092136
XM_014906409	FBgn0092136
XM_001961692	FBgn0092137
XM_014906410	FBgn0092137
XM_001961696	FBgn0092138
XM_001961699	FBgn0092139
XM_001961701	FBgn0092140
XM_001961703	FBgn0092141
XM_001961706	FBgn0092142
XM_014906411	FBgn0092142
XM_014906412	FBgn0092142
XM_001961707	FBgn0092143
XM_001961709	FBgn0092144
XM_001961711	FBgn0092145
XM_001961712	FBgn0092146
XM_001961713	FBgn0092147
XM_014906413	FBgn0092147
XM_001961715	FBgn0092148
XM_014906414	FBgn0092148
XM_001961716	FBgn0092149
XM_001961722	FBgn0092150
XM_001961723	FBgn0092151
XM_014906415	FBgn0092151
XM_001961728	FBgn0092153
XM_001961731	FBgn0092155
XM_001961732	FBgn0092156
XM_001961737	FBgn0092157
XM_014906416	FBgn0092157
XM_001961739	FBgn0092158
XM_001961741	FBgn0092159
XM_001961743	FBgn0092160
XM_001961746	FBgn0092161
XM_001961747	FBgn0092162
XM_001961748	FBgn0092163
XM_001961750	FBgn0092164
XM_001961751	FBgn0092165
XM_001961753	FBgn0092166
XM_001961755	FBgn0092167
XM_001965860	FBgn0092168
XM_001961756	FBgn0092169
XM_001961758	FBgn0092170
XM_001961759	FBgn0092171
XM_001961764	FBgn0092172
XM_001961765	FBgn0092173
XM_014906417	FBgn0092173
XM_014906418	FBgn0092173
XM_014906419	FBgn0092173
XM_014906420	FBgn0092173
XM_001961767	FBgn0092174
XM_001961768	FBgn0092175
XM_014906421	FBgn0092175
XM_001961769	FBgn0092176
XM_001961771	FBgn0092177
XM_001961774	FBgn0092178
XM_001961776	FBgn0092179
XM_001961780	FBgn0092180
XM_001961781	FBgn0092181
